ID;SMV;Sex Count
1;6;1
2;7;1
3;6;2
4;7;2
5;6;1
6;9;2
7;1;0
8;4;0
9;2;0
10;2;1
11;8;0
12;10;3
13;5;1
14;10;2
15;3;2
16;4;1
17;10;0
18;4;0
19;6;2
20;6;1
21;7;0
22;6;1
23;2;1
24;8;0
25;4;0
26;2;0
27;6;1
28;9;3
29;5;1
30;8;2
31;8;2
32;8;3
33;2;1
34;4;1
35;5;1
36;2;1
37;2;1
38;10;4
39;1;0
40;7;4
41;1;0
42;10;2
43;5;0
44;4;0
45;4;0
46;1;0
47;6;2
48;6;0
49;1;0
50;2;0
51;4;0
52;1;1
53;6;1
54;1;1
55;1;0
56;10;0
57;5;0
58;9;2
59;4;1
60;4;0
61;4;0
62;2;1
63;9;1
64;4;1
65;4;0
66;10;5
67;8;1
68;1;0
69;5;2
70;2;2
71;2;0
72;10;3
73;4;1
74;10;2
75;5;0
76;7;0
77;1;0
78;8;1
79;4;1
80;4;3
81;6;0
82;10;1
83;8;2
84;4;2
85;5;0
86;8;0
87;2;0
88;1;0
89;4;0
90;5;0
91;8;1
92;4;1
93;7;0
94;7;2
95;3;1
96;10;5
97;2;0
98;1;1
99;1;1

