1868
13056
58781
161104
265884
265467
160474
58645
12944
1777
AAAAAAAAAAAAAAA
0;0
1;0
2;0
3;0
4;145
5;10127
6;140094
7;419207
8;325538
9;91658
10;13231
AAAAAAAAAAA
1000000
AAAAAAAAAAA
0
0
0
0,0009000397
0,03808804
0,5277266
2,612305
5,550993
7,081119
7,445695
