26
118
603
1592
2645
2634
1602
593
162
25
AAAAAAAAAAAAAAA
0;0
1;5
2;12
3;94
4;288
5;987
6;2460
7;3454
8;1958
9;632
10;110
AAAAAAAAAAA
10000
AAAAAAAAAAA
0,1923077
0,1016949
0,1558872
0,1809045
0,3731569
0,9339408
2,156055
3,301855
3,901235
4,4
