18716
129892
588051
1607324
2654637
2658523
1605623
588337
130174
18723
AAAAAAAAAAAAAAA
0;0
1;320
2;2213
3;10797
4;37956
5;114943
6;376997
7;1527091
8;4472716
9;2906654
10;550313
AAAAAAAAAAA
10000000
AAAAAAAAAAA
0,01709767
0,01703723
0,01836065
0,0236144
0,04329895
0,1418069
0,9510894
7,602303
22,32899
29,39235
