ID;SMV;Sex Count
0;5;0
1;1;0
2;9;1
3;9;4
4;8;1
5;1;1
6;7;1
7;6;2
8;2;0
9;2;1
10;5;1
11;2;0
12;1;0
13;8;1
14;8;2
15;5;2
16;4;0
17;6;1
18;10;2
19;3;0
20;10;2
21;4;0
22;5;2
23;7;1
24;9;2
25;9;3
26;2;0
27;1;0
28;9;0
29;8;2
30;8;2
31;5;0
32;4;1
33;10;0
34;3;0
35;4;0
36;4;0
37;3;1
38;4;1
39;6;0
40;9;0
41;9;4
42;8;2
43;9;3
44;5;0
45;6;0
46;5;2
47;10;3
48;6;1
49;4;1
50;5;1
51;1;0
52;8;4
53;4;1
54;1;0
55;1;0
56;6;0
57;2;0
58;10;2
59;10;3
60;9;1
61;7;2
62;8;1
63;4;1
64;5;3
65;1;0
66;8;0
67;1;1
68;5;0
69;5;1
70;2;1
71;1;1
72;3;0
73;5;1
74;4;1
75;1;0
76;7;1
77;7;3
78;2;0
79;3;0
80;4;1
81;3;1
82;5;0
83;5;0
84;4;2
85;7;1
86;7;0
87;10;3
88;9;1
89;2;1
90;8;1
91;2;1
92;4;1
93;5;0
94;7;0
95;3;1
96;2;0
97;5;3
98;4;0
99;5;1
