0;<5. 7. 4>;0;5;3186;4331;5283;6206;8606;
1;<10. 8. 6>;3;5;578;3355;4499;7455;8772;
2;<5. 10. 1>;1;11;84;922;1731;2336;3239;5038;6430;7458;7562;7828;9646;
3;<9. 6. 5>;0;5;2222;3082;3503;5995;9379;
4;<5. 6. 4>;0;5;72;1996;5411;6221;8893;
5;<6. 3. 10>;1;8;179;573;644;1700;2124;5574;8249;8836;
6;<2. 9. 7>;1;12;4;1054;3008;3010;3262;3595;3734;4654;4906;6724;7293;7516;
7;<1. 2. 4>;0;4;684;4428;5413;6314;
8;<2. 9. 2>;0;10;1231;1902;2622;3918;4405;6403;7864;8549;9044;9700;
9;<3. 2. 5>;0;6;256;6062;6113;6911;9822;9855;
10;<7. 1. 4>;0;6;866;1863;3460;4550;7232;8412;
11;<7. 9. 6>;2;7;107;1028;2242;3058;5584;7201;7488;
12;<4. 1. 9>;0;8;1225;1487;2295;3064;4813;5058;6639;8528;
13;<5. 8. 3>;0;4;1692;2247;3697;5484;
14;<8. 3. 6>;0;6;1407;1822;2590;3684;6658;9692;
15;<1. 10. 9>;0;3;118;2560;6801;
16;<1. 7. 4>;0;6;770;3016;5363;8526;9129;9363;
17;<1. 7. 4>;0;3;852;1715;5530;
18;<4. 1. 2>;0;10;3192;3672;5045;6305;6504;6532;7190;9086;9705;9750;
19;<6. 10. 7>;2;4;375;560;1328;4063;
20;<2. 10. 6>;0;4;1766;3333;6773;7406;
21;<2. 10. 3>;0;4;264;2452;6458;9696;
22;<7. 3. 3>;0;5;3158;3330;4545;6891;8111;
23;<9. 8. 7>;3;9;1192;2830;2946;3411;5516;7646;8045;8680;9556;
24;<8. 7. 6>;3;5;1235;1871;3973;6474;9241;
25;<7. 8. 10>;4;4;2934;4232;5643;6009;
26;<2. 10. 6>;3;9;272;848;883;1150;4182;5161;7205;7755;8518;
27;<7. 5. 2>;0;7;1413;1715;3342;3494;4764;5706;7731;
28;<2. 10. 6>;0;5;1183;1846;1997;4175;5212;
29;<4. 7. 2>;0;6;1503;1902;2224;7286;8676;9693;
30;<6. 3. 6>;0;4;4577;6379;9415;9547;
31;<9. 1. 9>;1;4;889;5705;8138;8255;
32;<2. 4. 3>;0;3;3086;8569;9444;
33;<8. 5. 4>;0;6;766;4781;4878;6257;6669;7343;
34;<3. 5. 2>;0;9;2456;2481;2912;4521;5198;5322;7345;8121;8980;
35;<3. 7. 1>;0;7;464;1063;3349;3826;4724;5848;6605;
36;<9. 8. 7>;3;6;28;1808;2575;3591;5915;6035;
37;<3. 9. 9>;2;5;264;1820;3582;5525;7139;
38;<9. 3. 2>;0;10;35;1383;2125;2939;3021;5051;7418;8195;9331;9667;
39;<7. 8. 2>;1;10;200;1454;2555;3755;4710;5907;6261;6309;6453;8059;
40;<8. 2. 5>;0;6;2486;2806;3068;3792;5809;8029;
41;<7. 7. 7>;2;10;1525;1589;2837;2922;5353;7363;7687;7748;8885;9803;
42;<6. 3. 7>;0;7;2105;2252;6241;7142;8815;9512;9564;
43;<5. 10. 4>;1;7;4461;4775;5027;5047;7402;9520;9762;
44;<1. 6. 3>;0;10;51;582;2795;3626;4632;5833;6519;6923;6943;8061;
45;<7. 4. 7>;0;9;344;661;1221;3366;5675;6203;6568;6915;7278;
46;<6. 6. 7>;1;1;8685;
47;<5. 6. 8>;1;11;1526;1538;1900;2995;3304;3404;4586;6307;7403;7440;9752;
48;<3. 1. 8>;0;12;655;775;856;1327;2998;3243;4730;4823;5039;5651;5885;9144;
49;<2. 5. 8>;0;4;563;2422;6457;8910;
50;<9. 10. 3>;1;5;3025;3452;6890;7047;7557;
51;<4. 8. 10>;1;6;1322;2729;3129;5410;6868;9804;
52;<1. 5. 10>;1;7;993;2367;2559;2771;4066;5928;9321;
53;<4. 10. 3>;1;7;2314;3483;4167;5086;8159;8236;9409;
54;<1. 10. 4>;0;7;938;3165;4816;6299;6379;6982;8275;
55;<6. 5. 6>;1;10;4860;5142;6058;7247;7734;8062;8317;8407;8464;9842;
56;<4. 8. 10>;3;8;18;214;479;3532;5410;5435;9266;9885;
57;<10. 9. 9>;11;11;1188;1218;2504;3063;4766;5636;7436;7607;7643;8436;9822;
58;<1. 1. 8>;0;4;862;877;4941;5864;
59;<8. 7. 2>;2;8;1069;2561;4189;4388;4697;6089;6234;9765;
60;<1. 4. 4>;0;13;1786;1843;2395;2412;2752;4250;4402;5062;6318;6544;7942;8116;8961;
61;<2. 3. 3>;0;3;852;1773;4694;
62;<1. 6. 7>;0;10;824;3827;4083;4196;4616;5349;5923;6652;6956;7477;
63;<4. 9. 2>;2;9;1656;1925;2257;3350;5071;5364;8777;9114;9781;
64;<2. 9. 6>;0;6;332;2750;2864;5466;7733;8569;
65;<5. 5. 2>;0;5;2183;3064;4883;6817;9182;
66;<9. 5. 4>;0;5;4540;4578;6886;7558;8895;
67;<1. 5. 10>;0;6;718;825;1054;5593;6050;6554;
68;<6. 3. 8>;0;8;1950;2464;3497;4603;5387;5606;6555;8839;
69;<4. 8. 7>;0;5;455;1766;3388;5403;9524;
70;<1. 6. 4>;0;4;1922;5291;5802;6365;
71;<4. 8. 4>;0;11;250;1486;2196;2391;2960;3340;4235;4311;4443;4973;5476;
72;<4. 6. 5>;0;6;919;3307;3910;6834;7236;8723;
73;<3. 4. 9>;0;11;2600;3037;3083;5351;5452;6423;6448;6482;6519;6758;9682;
74;<8. 7. 10>;7;8;110;1129;2067;3238;3440;5087;6024;8226;
75;<10. 7. 9>;11;12;556;752;792;1298;1941;2721;2779;3293;3976;4290;5246;8114;
76;<5. 4. 9>;1;12;457;730;894;1138;2131;2842;3263;4105;4124;4636;5951;7938;
77;<3. 3. 3>;0;6;1949;3834;5002;5509;9772;9878;
78;<2. 6. 3>;0;8;7;347;1293;2687;2961;5782;6699;9333;
79;<2. 5. 6>;0;6;5145;6142;7089;7149;8167;8237;
80;<10. 6. 5>;2;6;96;628;1162;1821;3367;8126;
81;<1. 1. 10>;0;7;4621;5882;7134;7912;8818;9657;9711;
82;<5. 8. 2>;0;2;4921;6422;
83;<1. 6. 5>;0;4;2557;5471;7085;8192;
84;<10. 3. 7>;3;9;372;404;2532;3828;6128;6920;7311;8112;9666;
85;<7. 8. 2>;0;7;142;869;2370;4635;5939;7507;8480;
86;<5. 3. 5>;0;9;1251;1483;4052;5935;6447;7971;8096;8952;9459;
87;<8. 4. 10>;2;7;109;2267;3840;5483;7934;8245;8897;
88;<1. 10. 2>;0;8;682;1395;2869;3338;4538;4831;7603;8398;
89;<8. 3. 10>;6;17;229;1161;1300;1547;1693;1776;2153;3871;3946;5441;7454;7747;7827;7956;8147;9045;9501;
90;<10. 1. 5>;1;5;5090;6667;7359;8745;8847;
91;<3. 1. 2>;0;4;4061;6708;7434;9989;
92;<10. 8. 6>;5;9;357;2497;2598;5576;5640;6205;7954;8854;9239;
93;<8. 10. 8>;3;4;1448;5900;8179;9343;
94;<1. 5. 7>;0;7;851;5314;7231;8983;9241;9524;9772;
95;<3. 6. 6>;0;8;48;1586;1672;1803;3733;4071;4684;5543;
96;<10. 1. 5>;0;9;557;1604;1921;3397;3773;4870;6021;8813;9449;
97;<6. 5. 10>;3;10;638;1758;2056;2464;3387;7712;8211;8718;9501;9747;
98;<2. 7. 10>;1;9;30;457;805;1271;1293;4223;6116;6734;8578;
99;<7. 6. 9>;0;5;4428;4452;5230;6489;8128;
100;<2. 10. 6>;1;6;898;1191;3787;4406;5618;8044;
101;<10. 3. 2>;0;11;446;485;2371;3023;5812;7406;7830;8021;9253;9533;9674;
102;<1. 8. 10>;0;4;393;1775;7844;8852;
103;<9. 6. 9>;3;7;490;1730;1790;2352;2664;4511;5184;
104;<5. 7. 8>;0;5;1111;5508;6108;6759;9212;
105;<5. 4. 2>;0;10;1419;2304;2445;7819;8401;8453;8749;9370;9388;9934;
106;<5. 9. 9>;5;12;220;1185;1564;1880;3841;3843;3983;4798;7260;8568;8985;9250;
107;<9. 10. 9>;5;6;1348;1545;3733;4678;6637;8649;
108;<4. 7. 9>;1;5;5534;8476;8539;8637;9084;
109;<7. 4. 1>;0;4;615;3610;3756;7249;
110;<4. 8. 4>;0;7;976;1542;3604;3798;7275;8254;9001;
111;<8. 10. 7>;2;4;5498;6265;8479;9221;
112;<8. 10. 4>;4;8;1590;3224;5014;5304;6662;8397;8525;8689;
113;<8. 4. 9>;3;9;3570;3580;5342;5358;5836;6271;6867;7891;9517;
114;<5. 9. 9>;4;5;1040;1189;4514;5780;9218;
115;<2. 5. 3>;0;7;2820;3225;3436;5653;6050;6873;9766;
116;<7. 3. 3>;0;3;407;3075;7423;
117;<5. 7. 10>;6;10;1547;2007;2204;2431;3498;4375;4979;5260;8254;9323;
118;<5. 5. 2>;0;4;4551;6533;8371;9847;
119;<2. 8. 5>;0;7;395;1222;2890;3163;4503;5073;6604;
120;<5. 1. 5>;0;7;259;4111;4829;5831;8293;8859;9470;
121;<2. 7. 4>;0;16;188;479;518;884;1268;1379;1772;3279;3971;5340;5929;6758;6895;7554;7627;9153;
122;<3. 10. 9>;1;7;1116;1688;3696;4375;4508;8752;8862;
123;<1. 1. 7>;0;5;850;3809;6671;6697;7291;
124;<5. 8. 7>;0;5;1928;2928;3887;7426;8184;
125;<6. 6. 3>;0;5;3262;3459;6890;7622;8007;
126;<8. 9. 8>;8;11;239;429;983;1251;1601;2896;3484;3797;6764;7155;7704;
127;<9. 6. 3>;0;6;2152;2905;5174;7182;8295;8326;
128;<10. 8. 7>;4;5;717;2313;6750;7931;9968;
129;<10. 7. 10>;6;6;412;1452;3312;5681;7690;9234;
130;<4. 7. 2>;0;13;975;1227;1322;1737;2123;3236;3518;5110;5519;6459;7462;7963;9834;
131;<3. 9. 10>;2;4;772;3278;4004;7606;
132;<2. 5. 5>;0;4;11;2706;6474;6794;
