0;<5. 1. 8>;0;10;17;1153;1847;2112;2391;2791;2871;4124;4808;9920;
1;<6. 2. 2>;0;7;25;215;1340;4239;5086;6547;7884;
2;<4. 3. 4>;0;10;563;1594;2033;3284;4513;4633;5340;8441;8495;9365;
3;<5. 1. 5>;0;5;221;1595;4038;5775;6540;
4;<6. 2. 3>;0;8;783;1112;1163;1565;2887;2999;4416;8858;
5;<5. 1. 9>;0;6;3333;3431;3574;5772;7960;9723;
6;<6. 2. 7>;4;10;1903;2006;3048;7379;7842;7869;7913;9453;9732;9852;
7;<4. 1. 5>;0;6;252;381;3658;4936;5613;7409;
8;<5. 2. 3>;0;5;2437;3363;8476;8654;9928;
9;<5. 1. 7>;2;9;2418;4940;5316;5706;6348;6828;7293;8471;8995;
10;<5. 1. 2>;0;7;313;1931;4708;7740;9165;9261;9753;
11;<4. 1. 1>;0;9;351;3107;3261;3397;4228;8834;9001;9007;9486;
12;<4. 2. 7>;1;9;1214;2540;4004;4346;4882;5490;8405;9057;9251;
13;<7. 2. 3>;1;6;1532;1678;6954;7374;8486;8723;
14;<4. 1. 6>;0;10;374;715;1216;3455;3715;4679;5117;6156;9554;9768;
15;<4. 2. 5>;0;9;609;1157;1292;4907;4997;6348;7881;7988;8958;
16;<6. 3. 1>;0;6;2571;4632;5770;7766;9580;9802;
17;<7. 3. 3>;1;11;354;794;1851;3352;3848;6337;6976;7027;8968;9228;9509;
18;<3. 1. 5>;0;9;1928;2808;3770;3803;4818;6552;7364;8444;9415;
19;<7. 2. 6>;4;6;3513;4802;7559;8299;9345;9641;
20;<6. 2. 3>;0;5;2429;3735;4310;4494;9001;
21;<6. 2. 7>;1;9;2840;2957;3219;3553;3888;6464;6841;9175;9747;
22;<5. 1. 3>;0;10;1511;1871;2166;3434;4889;5016;6284;7667;7805;9983;
23;<6. 2. 5>;1;5;2027;5484;6680;9146;9297;
24;<5. 1. 7>;0;3;1600;4962;6161;
25;<2. 3. 1>;0;5;941;3415;5695;7222;9529;
26;<4. 3. 7>;2;5;1366;5522;6416;6467;9365;
27;<7. 2. 6>;5;11;1155;1308;2063;2675;2910;3548;4409;4821;5099;7374;9142;
28;<3. 2. 3>;0;3;3686;4618;9928;
29;<4. 3. 8>;5;10;279;340;2602;3414;3603;4491;6157;6958;7524;9039;
30;<5. 4. 5>;3;8;49;1816;2359;3091;5475;6461;9297;9631;
31;<6. 2. 4>;2;4;41;3229;4320;6387;
32;<6. 2. 4>;0;9;682;856;1412;2831;4105;5154;6382;6463;7511;
33;<3. 1. 5>;1;12;463;838;2184;2637;3116;3802;3902;4201;4533;5446;6735;7774;
34;<5. 2. 4>;1;8;190;619;6044;6572;6811;8270;8839;8914;
35;<6. 2. 1>;0;5;5290;5497;6395;6534;6927;
36;<8. 1. 1>;0;9;136;1305;1903;2647;6014;6563;7506;8541;9977;
37;<6. 2. 7>;3;7;491;2649;3639;4472;7362;7997;8873;
38;<5. 2. 4>;0;5;70;1172;2104;6296;6815;
39;<6. 1. 1>;0;5;4255;6544;8311;9167;9596;
40;<9. 2. 2>;2;7;2814;4503;5314;6119;7489;7580;8344;
41;<5. 2. 6>;4;12;97;646;2759;3817;4057;4294;5204;5625;6326;6650;8704;9255;
42;<5. 3. 4>;0;11;493;1334;2270;2564;3415;4386;5370;6537;7688;7989;8474;
43;<5. 2. 1>;0;12;214;1577;2274;2583;2656;2695;4852;5288;8551;9256;9902;9959;
44;<7. 2. 2>;1;8;2214;3532;4635;6514;7687;9141;9258;9337;
45;<4. 2. 3>;0;8;1713;2155;5352;5586;5920;6469;6760;8245;
46;<7. 3. 3>;0;5;2268;3519;4433;7136;9896;
47;<8. 1. 8>;6;8;1470;3055;3692;4349;4824;5184;6662;9040;
48;<8. 2. 9>;5;9;723;980;1567;1959;3012;3523;5748;5854;9811;
