0;<5. 4. 6>;2;3;60;158;326;
1;<6. 2. 4>;2;2;99;765;
2;<4. 3. 10>;0;0;
3;<5. 3. 4>;1;1;37;
4;<6. 3. 3>;1;1;54;
5;<5. 4. 9>;1;1;660;
6;<3. 2. 1>;0;5;23;130;295;583;974;
7;<8. 2. 3>;0;2;636;982;
8;<3. 3. 6>;1;3;546;627;873;
9;<5. 2. 6>;1;1;227;
10;<4. 2. 6>;0;0;
11;<6. 2. 4>;0;1;445;
12;<7. 3. 1>;0;1;962;
13;<7. 2. 9>;2;3;95;116;188;
14;<6. 3. 4>;1;1;770;
15;<6. 4. 3>;0;1;911;
16;<3. 4. 2>;0;1;135;
17;<5. 4. 2>;1;1;607;
18;<7. 4. 6>;2;2;296;960;
19;<7. 3. 6>;3;4;153;723;887;937;
20;<5. 2. 8>;1;4;8;137;448;483;
21;<2. 3. 7>;2;4;168;361;434;587;
22;<5. 3. 6>;0;2;351;811;
23;<4. 6. 6>;5;5;13;103;564;914;925;
24;<5. 2. 4>;0;1;303;
25;<9. 5. 1>;2;3;667;852;939;
26;<4. 1. 4>;0;3;21;323;934;
27;<7. 5. 1>;0;0;
28;<6. 5. 4>;4;4;284;679;853;957;
29;<7. 3. 5>;0;0;
30;<5. 4. 1>;1;2;125;519;
31;<5. 3. 3>;2;3;103;704;919;
32;<6. 3. 5>;1;2;312;844;
33;<5. 2. 6>;2;5;162;183;280;553;809;
34;<6. 4. 2>;2;2;164;418;
35;<8. 1. 9>;1;1;277;
36;<6. 5. 1>;1;2;30;316;
37;<5. 4. 4>;1;1;875;
38;<7. 3. 5>;3;4;100;271;281;486;
39;<6. 4. 1>;2;2;395;836;
40;<5. 1. 3>;0;1;508;
41;<5. 4. 2>;0;1;578;
42;<5. 2. 4>;2;3;619;685;712;
43;<4. 4. 1>;0;2;301;732;
44;<4. 3. 2>;0;3;165;823;945;
45;<5. 3. 1>;3;6;83;94;213;470;511;750;
46;<5. 3. 2>;0;2;414;818;
47;<7. 3. 6>;3;3;264;907;987;
48;<7. 7. 7>;4;4;408;583;744;752;
49;<7. 2. 4>;0;2;550;876;
50;<6. 2. 3>;1;2;356;692;
51;<6. 4. 3>;2;2;427;440;
52;<7. 2. 8>;3;3;215;614;879;
53;<6. 3. 1>;1;3;40;146;779;
54;<7. 1. 5>;1;3;177;840;977;
55;<6. 2. 7>;1;2;755;931;
56;<6. 4. 4>;2;3;584;906;931;
57;<5. 4. 3>;1;3;194;301;929;
58;<7. 4. 1>;1;1;473;
59;<10. 2. 8>;2;2;595;803;
60;<4. 2. 3>;0;3;98;446;858;
61;<3. 1. 1>;0;0;
62;<4. 3. 6>;0;1;954;
63;<4. 3. 3>;0;3;771;859;894;
64;<6. 5. 3>;1;1;222;
65;<6. 1. 1>;0;1;560;
66;<6. 3. 1>;0;1;830;
67;<6. 5. 5>;0;0;
68;<6. 5. 2>;1;1;179;
69;<6. 4. 4>;2;2;419;869;
70;<7. 3. 3>;1;1;844;
71;<7. 5. 5>;0;0;
72;<6. 2. 7>;0;0;
73;<6. 2. 2>;0;1;517;
74;<6. 3. 1>;0;1;689;
75;<6. 7. 5>;5;5;105;294;675;807;841;
76;<2. 4. 1>;0;0;
77;<5. 1. 4>;0;2;65;663;
78;<6. 3. 7>;0;0;
79;<6. 1. 7>;1;1;115;
80;<5. 1. 1>;1;1;568;
81;<4. 1. 5>;0;1;882;
82;<8. 3. 1>;1;5;484;619;781;847;855;
83;<4. 3. 10>;0;0;
84;<6. 5. 6>;2;2;118;933;
85;<5. 6. 1>;4;5;137;232;295;582;968;
86;<4. 3. 5>;0;0;
87;<4. 1. 2>;0;2;705;999;
88;<5. 2. 1>;0;3;678;849;851;
89;<4. 2. 5>;0;1;903;
90;<6. 1. 1>;0;4;104;126;213;980;
91;<3. 2. 1>;0;1;176;
92;<5. 3. 1>;0;0;
93;<6. 4. 7>;0;0;
94;<5. 1. 1>;0;2;424;996;
95;<6. 3. 7>;1;1;474;
96;<4. 3. 9>;3;4;77;204;491;604;
97;<7. 3. 5>;3;4;243;314;547;756;
98;<5. 3. 4>;0;1;677;
99;<5. 6. 1>;1;2;123;334;
100;<3. 2. 4>;1;3;424;704;808;
101;<5. 3. 1>;0;1;990;
102;<2. 5. 4>;2;3;9;62;248;
103;<7. 1. 4>;1;2;820;958;
104;<5. 1. 2>;0;2;485;626;
105;<4. 4. 5>;1;1;367;
106;<6. 3. 1>;1;2;136;716;
107;<6. 6. 4>;3;4;39;163;886;935;
108;<4. 5. 1>;3;4;63;90;252;286;
109;<7. 2. 6>;1;1;121;
110;<5. 4. 5>;0;0;
111;<5. 4. 4>;1;2;380;870;
112;<5. 5. 3>;1;1;486;
113;<7. 6. 4>;2;2;173;655;
114;<5. 2. 1>;0;2;435;660;
115;<7. 2. 5>;0;0;
116;<7. 3. 2>;0;2;6;664;
117;<4. 4. 3>;2;3;258;291;304;
118;<7. 5. 3>;0;2;601;965;
119;<6. 7. 4>;0;0;
120;<9. 1. 2>;2;3;463;675;796;
121;<6. 6. 2>;0;0;
122;<7. 5. 2>;2;3;403;482;843;
123;<4. 1. 2>;1;5;197;325;444;471;649;
